Company_Name,Class,Designation,Location,Total_applicants
IDESLABS PRIVATE LIMITED,Class 4,Project Manager, Telangana,78
IDESLABS PRIVATE LIMITED,Class 4,Project Manager, Tamil Nadu,33
IDESLABS PRIVATE LIMITED,Class 4,Associate Tech Specialist, Maharashtra,5
IDESLABS PRIVATE LIMITED,Class 4,UI/UX Developer, Maharashtra,12
IDESLABS PRIVATE LIMITED,Class 4,Devops Engineer, Maharashtra,61
IDESLABS PRIVATE LIMITED,Class 4,Software Engineer, Karnataka,52
IDESLABS PRIVATE LIMITED,Class 4,SAP MM-S4 HANA Consultant, Telangana,1
IDESLABS PRIVATE LIMITED,Class 4,SAP MM/PP, Telangana,1
IDESLABS PRIVATE LIMITED,Class 4,Recruitment Lead, Telangana,1
IDESLABS PRIVATE LIMITED,Class 4,Team Lead, Uttar Pradesh,0
IDESLABS PRIVATE LIMITED,Class 4,Team Lead, Telangana,9
IDESLABS PRIVATE LIMITED,Class 4,Java-front end Developer, Telangana,0
IDESLABS PRIVATE LIMITED,Class 4,SAP PI/PO, Telangana,1
IDESLABS PRIVATE LIMITED,Class 4,Team Lead, Uttar Pradesh,3
IDESLABS PRIVATE LIMITED,Class 4,Dot Net Developer, Karnataka,7
IDESLABS PRIVATE LIMITED,Class 4,Business Consultant, Karnataka,49
IDESLABS PRIVATE LIMITED,Class 4,Customer Delivery Head, West Bengal,36
IDESLABS PRIVATE LIMITED,Class 4,Team Lead, Karnataka,27
IDESLABS PRIVATE LIMITED,Class 4,Associate Team Lead, Telangana,16
IDESLABS PRIVATE LIMITED,Class 4,Associate Security Consultant, Maharashtra,4
IDESLABS PRIVATE LIMITED,Class 4,Team Lead, Maharashtra,0
